Noun,Count
중사,6
테이프,6
징역,6
이별,6
호랑,6
신용카드,6
너무,6
생필품,6
감성적,6
낙,6
짐승,6
냉면,6
스킬,6
엘레베이터,6
립스틱,6
메가,6
벌점,6
독립적,6
사망보험,6
토이스토리,6
미식축구,6
자기소개,6
대선,6
무상,6
비싸도,6
베이지,6
카센터,6
재질,6
풍경,6
동심,6
시집,6
번화가,6
노동부,6
에센스,6
체증,6
뷰티,6
기독교,6
일샵,6
출연,6
정은,6
기말,6
도망,6
우도,6
자영업자,6
대마,6
보안,6
반입,6
해볼려,6
승부욕,6
학부모,6
넷마블,6
워드,6
김인호,6
사단,6
일로,6
형편,6
올리브영,6
도시락,6
하세,6
교통편,6
시험기간,6
정주,6
피아,6
매트,6
한파,6
발찌,6
옥,6
방음,6
양주,6
인호,6
오토,6
별루,6
순삭,6
베놈,6
출전,6
분정도,6
김연,6
그랑프리,6
멜로,6
오우,6
여배우,6
안젤리,6
중고거래,6
김치전,6
하니,6
신기하,6
자구,6
폴,6
도와,6
교권,6
쌍커플,6
자상,6
월세방,6
계발,6
대리비,6
딩크족,6
칼날,6
커서,6
중함,6
재수,6
초장,6
오바,6
운행,6
한숨,6
쉐보,6
장인,6
영어공부,6
닭가슴살,6
가슴살,6
해바라기,6
검정고시,6
차선,6
무술,6
맵이,6
지현,6
형수,6
싱글,6
말구,6
용기,6
사생활,6
엑,6
팔로워,6
정전기,6
건축,6
냉동실,6
캐쉬,6
소설,6
비건,6
석탄,6
산업체,6
연극,6
서커스,6
방금,6
지옥철,6
향기,6
사이버,6
아쿠아,6
직거래,6
충청도,6
영양제도,6
저출산,6
반대편,6
마이너스,6
버전,6
선풍기,6
녀,6
볶음,6
모름,6
상병,6
일병,6
하나여,6
배우기,6
스키점프,6
번은,6
기차여행,6
스케이트보드,6
서브,6
이코노미,6
문제래,6
슬기,6
욜,6
있더,6
의생,6
잡기,6
초전동,6
치기,6
캐슬,6
댄스,6
역세,6
회가,6
현역,6
한글,6
공기놀이,6
뱃살,6
원데이,6
대우,6
군가,6
구비,6
온풍기,6
감고,6
하잖,6
신분,6
동사무소,6
테러,6
장례식,6
고소,6
정민,6
송,6
혁신,6
맞춤법,6
광역버스,6
경락,6
아우,6
물기,6
혹한,6
바리스타,6
연애결혼,6
고요,6
친화,6
승부,6
힘내,6
인명피해,6
카메라,6
맞벌이,6
옹,6
키즈,6
해보,6
중소기업,6
쌉가,6
마을버스,6
러그,6
포스터,6
친절,6
유행이래,6
마니아,6
스쿼시,5
커튼,5
수컷,5
파이터,5
사회이슈,5
기억안,5
배구선수,5
타운하우스,5
본데,5
특수부대,5
박군,5
가로,5
채광,5
기어,5
핸들,5
기분전환,5
전기세,5
빠바,5
비오틴,5
테라스,5
봉투,5
백만원,5
관상용,5
상남자,5
오래전,5
가심,5
달래,5
기온차,5
이등병,5
장윤정,5
강남역,5
와일드,5
난리임,5
보직,5
장단,5
한몫,5
손잡이,5
추진,5
감도,5
지뢰,5
전투기,5
쓸모,5
한편,5
법안,5
야수,5
인용,5
잡일,5
프랑스어,5
앵무,5
유튜버들,5
닦토,5
가격대,5
머리숱,5
쿠키런,5
평등,5
총싸움,5
소모품,5
떙,5
개빡,5
보리차,5
서울대,5
생수,5
결명자,5
딜러,5
불법적,5
고무신,5
주더,5
난장판,5
어떡,5
서장훈,5
부채,5
술자리,5
거군,5
윈도,5
먹지,5
